TIME(s)	PID	COMM	LADDR	LPORT	RADDR	RPORT	TX_KB	RX_KB	MS	ATTACK
3250.302689	4096	TCP	75.127.97.72	80	192.168.56.1	53393	4.0360000000000005	2.0100000000000002	257184.85400000008	1
3250.32273	4097	TCP	75.127.97.72	80	192.168.56.1	53394	4.0360000000000005	1.9530000000000003	171521.479	1
3250.342998	4098	TCP	75.127.97.72	80	192.168.56.1	53395	3.856	1.7410000000000003	104485.4150000001	1
3250.363182	4099	TCP	75.127.97.72	80	192.168.56.1	53396	12.288000000000007	2.0360000000000005	230550.37399999992	1
3250.38327	4100	TCP	75.127.97.72	80	192.168.56.1	53397	4.054	2.0580000000000003	135636.17999999996	1
3250.403481	4101	TCP	75.127.97.72	80	192.168.56.1	53398	12.288000000000007	1.9750000000000005	217504.14900000033	1
3250.42365	4102	TCP	75.127.97.72	80	192.168.56.1	53399	3.5900000000000007	1.9350000000000003	146184.38399999967	1
3250.443691	4103	TCP	75.127.97.72	80	192.168.56.1	53400	3.79	1.68	90310.26999999995	1
3250.463913	4104	TCP	75.127.97.72	80	192.168.56.1	53401	3.6210000000000004	1.9890000000000003	263139.099	1
3250.484136	4105	TCP	75.127.97.72	80	192.168.56.1	53402	3.724	1.6030000000000002	85608.90400000017	1
3250.504314	4106	TCP	75.127.97.72	80	192.168.56.1	53403	4.0360000000000005	1.8010000000000002	113456.52900000004	1
3250.524357	4107	TCP	75.127.97.72	80	192.168.56.1	53404	12.024000000000004	1.5690000000000004	85303.402	1
3250.544554	4108	TCP	75.127.97.72	80	192.168.56.1	53405	4.0360000000000005	1.949	171963.3349999999	1
3250.56475	4109	TCP	75.127.97.72	80	192.168.56.1	53406	3.97	1.7739999999999998	106897.51500000012	1
3250.584803	4110	TCP	75.127.97.72	80	192.168.56.1	53407	3.97	1.7380000000000002	101042.97599999973	1
3250.604996	4111	TCP	75.127.97.72	80	192.168.56.1	53408	4.168	2.069	135414.8879999998	1
3250.625205	4112	TCP	75.127.97.72	80	192.168.56.1	53409	4.102	1.9780000000000002	123491.35500000011	1
3250.645272	4113	TCP	75.127.97.72	80	192.168.56.1	53410	4.102	3.2390000000000003	122754.31499999968	1
3250.665489	4114	TCP	75.127.97.72	80	192.168.56.1	53411	3.838	2.826	85369.58499999992	1
3250.685693	4115	TCP	75.127.97.72	80	192.168.56.1	53412	5.572	2.074	209791.30200000008	1
3250.705745	4116	TCP	75.127.97.72	80	192.168.56.1	53413	5.572	2.1730000000000005	255005.99199999988	1
3250.725771	4117	TCP	75.127.97.72	80	192.168.56.1	53414	2.051	2.0420000000000003	150255.267	1
3250.745956	4118	TCP	75.127.97.72	80	192.168.56.1	53415	5.254000000000001	2.1120000000000005	232952.6289999999	1
3250.766059	4119	TCP	75.127.97.72	80	192.168.56.1	53416	5.254000000000001	2.216	190206.1450000001	1
3250.786251	4120	TCP	75.127.97.72	80	192.168.56.1	53417	5.254000000000001	2.0940000000000003	192446.70899999983	1
3250.806434	4121	TCP	75.127.97.72	80	192.168.56.1	53418	5.254000000000001	2.1270000000000002	177539.00299999985	1
3250.82649	4122	TCP	75.127.97.72	80	192.168.56.1	53419	5.254000000000001	2.2060000000000004	190146.94800000006	1
3250.846679	4123	TCP	75.127.97.72	80	192.168.56.1	53420	5.254000000000001	2.1270000000000002	190345.30099999983	1
3250.866862	4124	TCP	75.127.97.72	80	192.168.56.1	53421	5.254000000000001	2.1570000000000005	187876.06600000025	1
3250.886813	4125	TCP	75.127.97.72	80	192.168.56.1	53422	5.254000000000001	2.128	151042.52399999995	1
3250.90699	4126	TCP	75.127.97.72	80	192.168.56.1	53423	5.254000000000001	2.1590000000000003	230671.36800000025	1
3250.92722599999	4127	TCP	75.127.97.72	80	192.168.56.1	53424	5.254000000000001	2.022	146276.0760000101	1
3250.947277	4128	TCP	75.127.97.72	80	192.168.56.1	53425	5.254000000000001	2.1370000000000005	182069.10499999957	1
3250.967475	4129	TCP	75.127.97.72	80	192.168.56.1	53426	5.254000000000001	2.157	256178.8980000001	1
3250.987658	4130	TCP	75.127.97.72	80	192.168.56.1	53427	5.254000000000001	2.103	189986.4130000001	1
3251.007889	4131	TCP	75.127.97.72	80	192.168.56.1	53428	5.254000000000001	2.185	245177.15099999987	1
3251.027914	4132	TCP	75.127.97.72	80	192.168.56.1	53429	5.254000000000001	2.1630000000000003	176704.25700000033	1
3251.048091	4133	TCP	75.127.97.72	80	192.168.56.1	53430	5.254000000000001	2.1380000000000003	237616.078	1
3251.068265	4134	TCP	75.127.97.72	80	192.168.56.1	53431	5.254000000000001	2.059	194860.42300000007	1
3251.08825	4135	TCP	75.127.97.72	80	192.168.56.1	53432	5.254000000000001	2.0900000000000003	256420.39100000012	1
3251.108471	4136	TCP	75.127.97.72	80	192.168.56.1	53433	5.254000000000001	2.92	236446.5620000001	1
3251.12867	4137	TCP	75.127.97.72	80	192.168.56.1	53434	5.254000000000001	3.024000000000001	232913.83899999983	1
3251.148719	4138	TCP	75.127.97.72	80	192.168.56.1	53435	5.254000000000001	2.232	149903.0340000004	1
3251.16893	4139	TCP	75.127.97.72	80	192.168.56.1	53436	5.254000000000001	2.2380000000000004	154282.93600000007	1
3251.189143	4140	TCP	75.127.97.72	80	192.168.56.1	53437	5.254000000000001	2.2270000000000003	146666.70299999986	1
3251.209199	4141	TCP	75.127.97.72	80	192.168.56.1	53438	5.254000000000001	2.2010000000000005	146683.587	1
3251.22945	4142	TCP	75.127.97.72	80	192.168.56.1	53439	5.254000000000001	2.152	146700.4490000004	1
3251.249633	4143	TCP	75.127.97.72	80	192.168.56.1	53440	5.254000000000001	2.2140000000000004	146717.96900000027	1
3251.269769	4144	TCP	75.127.97.72	80	192.168.56.1	53441	5.254000000000001	2.1450000000000005	146735.18000000014	1
3251.289952	4145	TCP	75.127.97.72	80	192.168.56.1	53442	5.254000000000001	2.3000000000000003	146754.06399999975	1
3251.310046	4146	TCP	75.127.97.72	80	192.168.56.1	53443	5.254000000000001	2.2500000000000004	146774.84000000003	1
3251.330104	4147	TCP	75.127.97.72	80	192.168.56.1	53444	5.254000000000001	2.2270000000000003	146797.08600000004	1
3251.35036	4148	TCP	75.127.97.72	80	192.168.56.1	53445	5.254000000000001	2.221	146817.71600000001	1
3251.370484	4149	TCP	75.127.97.72	80	192.168.56.1	53446	5.254000000000001	2.2110000000000007	146836.855	1
3251.390569	4150	TCP	75.127.97.72	80	192.168.56.1	53447	5.254000000000001	2.2150000000000003	146859.3179999998	1
3251.41069	4151	TCP	75.127.97.72	80	192.168.56.1	53448	5.254000000000001	2.235	146878.63199999993	1
3251.430892	4152	TCP	75.127.97.72	80	192.168.56.1	53449	5.254000000000001	2.2040000000000006	146895.17100000012	1
3251.451676	4153	TCP	75.127.97.72	80	192.168.56.1	53450	12.156000000000006	1.764	97431.36400000003	1
3251.471916	4154	TCP	75.127.97.72	80	192.168.56.1	53451	3.838	1.5650000000000002	84561.76800000003	1
3251.492038	4155	TCP	75.127.97.72	80	192.168.56.1	53452	4.168	2.0170000000000003	133165.00900000028	1
3251.512244	4156	TCP	75.127.97.72	80	192.168.56.1	53453	0.6680000000000001	1.274	67907.0999999999	1
3251.532328	4157	TCP	75.127.97.72	80	192.168.56.1	53454	1.0640000000000005	1.85	241628.13800000004	1
3251.552524	4158	TCP	75.127.97.72	80	192.168.56.1	53455	3.6210000000000004	1.917	261357.85399999988	1
3251.572733	4159	TCP	75.127.97.72	80	192.168.56.1	53456	5.328000000000001	4.051000000000001	182968.9800000001	1
3251.577968	4160	TCP	74.63.40.21	80	192.168.4.120	2926	101.27799999999989	2.8470000000000018	178353.345	1
3251.592814	4161	TCP	75.127.97.72	80	192.168.56.1	53457	5.328000000000001	4.076	251518.60399999988	1
3251.613028	4162	TCP	75.127.97.72	80	192.168.56.1	53458	3.6210000000000004	1.9800000000000006	261994.13299999968	1
3251.633243	4163	TCP	75.127.97.72	80	192.168.56.1	53459	3.6210000000000004	2.0370000000000004	261762.97399999975	1
3251.65329	4164	TCP	75.127.97.72	80	192.168.56.1	53460	2.051	2.0760000000000005	172687.76299999992	1
3251.673493	4165	TCP	75.127.97.72	80	192.168.56.1	53461	3.6210000000000004	2.016	262079.13500000042	1
3251.693679	4166	TCP	75.127.97.72	80	192.168.56.1	53462	2.183	2.084	134326.51399999985	1
3251.713732	4167	TCP	75.127.97.72	80	192.168.56.1	53463	5.254000000000001	2.096	144966.90499999977	1
3251.733914	4168	TCP	75.127.97.72	80	192.168.56.1	53464	5.254000000000001	2.103	247885.5330000001	1
3251.754131	4169	TCP	75.127.97.72	80	192.168.56.1	53465	5.254000000000001	2.12	230687.265	1
3251.774231	4170	TCP	75.127.97.72	80	192.168.56.1	53466	5.254000000000001	2.043	144868.50499999992	1
3251.79429	4171	TCP	75.127.97.72	80	192.168.56.1	53467	5.254000000000001	2.071	150450.90000000029	1
3251.814493	4172	TCP	75.127.97.72	80	192.168.56.1	53468	5.254000000000001	2.1000000000000005	254600.51999999996	1
3251.834517	4173	TCP	75.127.97.72	80	192.168.56.1	53469	5.254000000000001	2.1310000000000002	200262.95200000005	1
3251.854727	4174	TCP	75.127.97.72	80	192.168.56.1	53470	5.254000000000001	2.129	182732.24500000014	1
3251.874963	4175	TCP	75.127.97.72	80	192.168.56.1	53471	5.254000000000001	2.107	248873.42399999988	1
3251.895029	4176	TCP	75.127.97.72	80	192.168.56.1	53472	5.254000000000001	2.0320000000000005	194124.18400000024	1
3251.915252	4177	TCP	75.127.97.72	80	192.168.56.1	53473	5.254000000000001	2.1300000000000003	174793.59000000023	1
